n,j,u[n][j],exact,error
34,7,0.324796,0.324573,0.068647
34,8,0.221078,0.220926,0.068647
34,9,0.111917,0.111840,0.068647
34,10,0.000000,0.000000,1.#INF00
35,0,0.708412,0.707912,0.070665
35,1,0.699690,0.699196,0.070665
35,2,0.673740,0.673264,0.070665
35,3,0.631200,0.630754,0.070665
35,4,0.573117,0.572712,0.070665
35,5,0.500923,0.500569,0.070665
35,6,0.416394,0.416100,0.070665
35,7,0.321612,0.321385,0.070665
35,8,0.218911,0.218757,0.070665
35,9,0.110820,0.110742,0.070665
35,10,0.000000,0.000000,1.#INF00
36,0,0.701469,0.700959,0.072684
36,1,0.692833,0.692329,0.072684
36,2,0.667137,0.666652,0.072684
36,3,0.625013,0.624559,0.072684
36,4,0.567500,0.567088,0.072684
36,5,0.496013,0.495653,0.072684
36,6,0.412313,0.412013,0.072684
36,7,0.318460,0.318229,0.072684
36,8,0.216766,0.216608,0.072684
36,9,0.109734,0.109654,0.072684
36,10,0.000000,0.000000,1.#INF00
37,0,0.694594,0.694075,0.074702
37,1,0.686042,0.685530,0.074702
37,2,0.660598,0.660104,0.074702
37,3,0.618888,0.618425,0.074702
37,4,0.561938,0.561518,0.074702
37,5,0.491152,0.490785,0.074702
37,6,0.408272,0.407967,0.074702
37,7,0.315339,0.315103,0.074702
37,8,0.214641,0.214481,0.074702
37,9,0.108658,0.108577,0.074702
37,10,0.000000,0.000000,1.#INF00
38,0,0.687786,0.687258,0.076720
38,1,0.679318,0.678797,0.076720
38,2,0.654123,0.653622,0.076720
38,3,0.612822,0.612352,0.076720
38,4,0.556431,0.556004,0.076720
38,5,0.486338,0.485965,0.076720
38,6,0.404270,0.403960,0.076720
38,7,0.312248,0.312009,0.076720
38,8,0.212538,0.212375,0.076720
38,9,0.107593,0.107511,0.076720
38,10,0.000000,0.000000,1.#INF00
39,0,0.681045,0.680509,0.078738
39,1,0.672660,0.672131,0.078738
39,2,0.647712,0.647202,0.078738
39,3,0.606816,0.606338,0.078738
39,4,0.550977,0.550543,0.078738
39,5,0.481572,0.481192,0.078738
39,6,0.400308,0.399993,0.078738
39,7,0.309188,0.308945,0.078738
39,8,0.210454,0.210289,0.078738
39,9,0.106539,0.106455,0.078738
39,10,0.000000,0.000000,1.#INF00
40,0,0.674370,0.673825,0.080756
40,1,0.666067,0.665530,0.080756
40,2,0.641364,0.640846,0.080756
40,3,0.600868,0.600383,0.080756
40,4,0.545577,0.545136,0.080756
40,5,0.476852,0.476467,0.080756
40,6,0.396385,0.396065,0.080756
40,7,0.306158,0.305910,0.080756
40,8,0.208392,0.208224,0.080756
40,9,0.105495,0.105410,0.080756
40,10,0.000000,0.000000,1.#INF00
41,0,0.667761,0.667208,0.082774
41,1,0.659539,0.658993,0.082774
41,2,0.635078,0.634552,0.082774
41,3,0.594979,0.594486,0.082774
41,4,0.540230,0.539782,0.082774
41,5,0.472178,0.471787,0.082774
41,6,0.392500,0.392175,0.082774
41,7,0.303157,0.302906,0.082774
41,8,0.206349,0.206179,0.082774
41,9,0.104461,0.104374,0.082774
41,10,0.000000,0.000000,1.#INF00
42,0,0.661216,0.660655,0.084792
42,1,0.653075,0.652521,0.084792
42,2,0.628854,0.628320,0.084792
42,3,0.589148,0.588648,0.084792
42,4,0.534935,0.534481,0.084792
42,5,0.467550,0.467154,0.084792
42,6,0.388653,0.388323,0.084792
42,7,0.300186,0.299931,0.084792
42,8,0.204327,0.204154,0.084792
42,9,0.103437,0.103349,0.084792
42,10,0.000000,0.000000,1.#INF00
43,0,0.654735,0.654167,0.086810
43,1,0.646674,0.646113,0.086810
43,2,0.622690,0.622150,0.086810
43,3,0.583373,0.582867,0.086810
43,4,0.529692,0.529232,0.086810
43,5,0.462968,0.462566,0.086810
43,6,0.384844,0.384510,0.086810
43,7,0.297244,0.296985,0.086810
43,8,0.202324,0.202149,0.086810
43,9,0.102423,0.102334,0.086810
43,10,0.000000,0.000000,1.#INF00
44,0,0.648318,0.647742,0.088828
44,1,0.640336,0.639767,0.088828
44,2,0.616587,0.616039,0.088828
44,3,0.577656,0.577142,0.088828
44,4,0.524500,0.524034,0.088828
44,5,0.458430,0.458023,0.088828
44,6,0.381072,0.380733,0.088828
44,7,0.294330,0.294069,0.088828
44,8,0.200341,0.200163,0.088828
44,9,0.101419,0.101329,0.088828
44,10,0.000000,0.000000,1.#INF00
45,0,0.641964,0.641381,0.090846
45,1,0.634060,0.633484,0.090846
